=========================================
== CST Matrix Calculation Priority Log ==
=========================================
Priorities are sorted in ascending order beginning with the lowest priority
 
Group | Shape-ID | ShapeName | Material | User-priority | 2D/3D-Geometry | Material-attributes | Shape-attributes | Feature-ID | Schemetype
1 | 11 | </cst/Boundaries/> Low^X | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 12 | </cst/Boundaries/> Low^Y | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 13 | </cst/Boundaries/> Low^Z | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 14 | </cst/Boundaries/> Up^X | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 15 | </cst/Boundaries/> Up^Y | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 16 | </cst/Boundaries/> Up^Z | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
2 | 7 | </cst/Ports/> 1^t0 | Aluminum | n/a | no | pec.rho.surface-impedance. | edge-element.wire. | n/a | FIT_TD
2 | 8 | </cst/Ports/> 1^t1 | Aluminum | n/a | no | pec.rho.surface-impedance. | edge-element.wire. | n/a | FIT_TD
2 | 9 | </cst/Ports/> 2^t0 | Aluminum | n/a | no | pec.rho.surface-impedance. | edge-element.wire. | n/a | FIT_TD
2 | 10 | </cst/Ports/> 2^t1 | Aluminum | n/a | no | pec.rho.surface-impedance. | edge-element.wire. | n/a | FIT_TD
3 | 1 | Boom_Lower_1:Boom | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
3 | 2 | Boom_Lower_2:Boom | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
3 | 3 | Boom_Lower_2:Stub | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
3 | 4 | Boom_Upper_1:Boom | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
3 | 5 | Boom_Upper_1:Stub | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
3 | 6 | Boom_Upper_2:Boom | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
=========================================
